id,description,fr
event.birth.action.certificate.form.label,This is what this form is referred as in the system,
event.birth.action.certificate.form.section.collectPayment.data.label,Title for the data section,Détails du paiement
event.birth.action.certificate.form.section.collectPayment.fee.label,Title for the data entry,Frais
event.birth.action.certificate.form.section.collectPayment.service.label,Title for the data entry,Service
event.birth.action.certificate.form.section.collectPayment.service.label.afterLateRegistrationTarget,Birth registration after 365 days of date of birth message,Enregistrement de naissance après 365 jours de la date de naissance
event.birth.action.certificate.form.section.collectPayment.service.label.beforeRegistrationTarget,Birth registration before 30 days of date of birth message,Enregistrement de naissance avant 30 jours de la date de naissance
event.birth.action.certificate.form.section.collectPayment.service.label.inBetweenRegistrationTargets,Birth registration after 30 days but before 365 days of date of birth message,Enregistrement de naissance après 30 jours mais avant 365 jours de la date de naissance
event.birth.action.certificate.form.section.requester.father.label,This is the label for the field,
event.birth.action.certificate.form.section.requester.label,This is the label for the field,Demandeur
event.birth.action.certificate.form.section.requester.mother.label,This is the label for the field,
event.birth.action.certificate.form.section.requester.other.label,This is the label for the field,Imprimer et délivrer à quelqu'un d'autre
event.birth.action.certificate.form.section.requester.printInAdvance.label,This is the label for the print-in-advance of issuance field,Imprimer avant la délivrance
event.birth.action.certificate.form.section.verifyIdentity.data.label,Title for the data section,Détails de l'identité
event.birth.action.certificate.form.section.who.title,This is the title of the section,Certifier l'enregistrement
event.birth.action.certificate.form.verify,This is the label for the verification button,Vérifié
event.birth.action.collect-certificate.label,This is shown as the action name anywhere the user can trigger the action from,Imprimer
event.birth.action.correction.documents.supportingDocs.affidavit.label,Label for the affidavit option,Affidavit
event.birth.action.correction.documents.supportingDocs.courtDocument.label,Label for the court document option,Document judiciaire
event.birth.action.correction.documents.supportingDocs.label,Label for the supporting documents field,Documents justificatifs
event.birth.action.correction.documents.supportingDocs.other.label,Label for the other option,Autre
event.birth.action.correction.fees.amount.label,Label for the amount field,Frais totaux
event.birth.action.correction.fees.amount.prefix,Prefix for the amount field,€
event.birth.action.correction.form.cancel,This is the label for the verification cancellation button,L'identité ne correspond pas
event.birth.action.correction.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Veuillez noter que si vous continuez, vous serez responsable d'apporter une modification à cet enregistrement sans la preuve d'identification nécessaire."
event.birth.action.correction.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Correction sans preuve d'identité ?
event.birth.action.correction.form.label,This is the label for the birth correction form,
event.birth.action.correction.form.requester.type.anotherAgent,This is the label for the correction requester field,
event.birth.action.correction.form.requester.type.child,This is the label for the correction requester field,
event.birth.action.correction.form.requester.type.court,This is the label for the correction requester field,
event.birth.action.correction.form.requester.type.legalGuardian,This is the label for the correction requester field,
event.birth.action.correction.form.requester.type.me,This is the label for the correction requester field,
event.birth.action.correction.form.requester.type.someoneElse,This is the label for the correction requester field,
event.birth.action.correction.form.section.details.divider.label,This is the title of the section,
event.birth.action.correction.form.section.details.title,This is the title of the section,Détails de la correction
event.birth.action.correction.form.section.fees.title,This is the title of the section,Collecter les frais
event.birth.action.correction.form.section.reason.title,This is the title of the section,Raison de la correction
event.birth.action.correction.form.section.requester.brn.label,This is the label for the field,Numéro d'identification
event.birth.action.correction.form.section.requester.father.label,This is the label for the field,Père
event.birth.action.correction.form.section.requester.idType.label,This is the label for the field,Type d'identification
event.birth.action.correction.form.section.requester.identity.verify.title,This is the title of the section,Vérifier l'identité
event.birth.action.correction.form.section.requester.label,This is the label for the field,Demandeur
event.birth.action.correction.form.section.requester.mother.label,This is the label for the field,Mère
event.birth.action.correction.form.section.requester.name.label,This is the label for the field,Nom
event.birth.action.correction.form.section.requester.nid.label,This is the label for the field,Numéro d'identification
event.birth.action.correction.form.section.requester.passport.label,This is the label for the field,Numéro d'identification
event.birth.action.correction.form.section.requester.relationship.label,This is the label for the field,Relation avec l'enfant
event.birth.action.correction.form.section.requester.relationship.placeholder,This is the placeholder for the field,ex. Grand-mère
event.birth.action.correction.form.section.supporting-documents.title,This is the title of the section,Télécharger les documents justificatifs
event.birth.action.correction.form.section.verifyIdentity.data.label,Title for the data section,
event.birth.action.correction.form.verify,This is the label for the verification button,Vérifié
event.birth.action.correction.reason.option.clericalError.label,Label for the clerical error option,Une erreur a été commise par moi-même ou un agent (Erreur administrative)
event.birth.action.correction.reason.option.judicialOrder.label,Label for the judicial order option,Demandé par le tribunal (Ordonnance judiciaire)
event.birth.action.correction.reason.option.materialError.label,Label for the material error option,L'informateur a fourni des informations incorrectes (Erreur matérielle)
event.birth.action.correction.reason.option.materialOmission.label,Label for the material omission option,L'informateur n'a pas fourni cette information (Omission matérielle)
event.birth.action.correction.reason.option.other.label,Label for the other option,Autre
event.birth.action.correction.reason.other.label,Label for the reason,Préciser la raison
event.birth.action.declare.declare.copy,Confirmation text for the declare action,
event.birth.action.declare.form.label,This is what this form is referred as in the system,Birth decalration form
event.birth.action.declare.form.nid.unique,This is the error message for non-unique ID Number,L'identifiant national doit être unique
event.birth.action.declare.form.review.comment.label,Label for the comment field in the review section,Commentaire
event.birth.action.declare.form.review.signature.label,Label for the signature field in the review section,Signature de l'informateur
event.birth.action.declare.form.review.title,Title of the form to show in review page,"{child.name.firstname, select, __EMPTY__ {{child.name.surname, select, __EMPTY__ {Déclaration de naissance} other {Déclaration de naissance pour {child.name.surname}}}} other {{child.name.surname, select, __EMPTY__ {Déclaration de naissance pour {child.name.firstname}} other {Déclaration de naissance pour {child.name.firstname} {child.name.surname}}}}}"
event.birth.action.declare.form.section.child.field.attendantAtBirth.label,This is the label for the field,Accoucheur(se)
event.birth.action.declare.form.section.child.field.birthDuration.error,This is the error message for invalid duration,
event.birth.action.declare.form.section.child.field.birthDuration.placeholder,This is the placeholder for the field,
event.birth.action.declare.form.section.child.field.birthLocation.label,This is the label for the field,Lieu de naissance
event.birth.action.declare.form.section.child.field.birthType.label,This is the label for the field,Type d'accouchement
event.birth.action.declare.form.section.child.field.dob.error,This is the error message for invalid date,Doit être une date de naissance valide
event.birth.action.declare.form.section.child.field.dob.label,This is the label for the field,Date de naissance
event.birth.action.declare.form.section.child.field.gender.label,This is the label for the field,Sexe
event.birth.action.declare.form.section.child.field.name.label,This is the label for the field,Nom de l'enfant
event.birth.action.declare.form.section.child.field.placeOfBirth.label,This is the label for the field,Lieu de l'accouchement
event.birth.action.declare.form.section.child.field.reason.label,This is the label for the field,
event.birth.action.declare.form.section.child.field.weightAtBirth.label,This is the label for the field,Poids à la naissance
event.birth.action.declare.form.section.child.field.weightAtBirth.postfix,This is the postfix for the weight field,Kilograms (kg)
event.birth.action.declare.form.section.documents.field.proofOfBirth.label,This is the label for the field,Preuve de naissance
event.birth.action.declare.form.section.documents.field.proofOfFather.label,This is the label for the field,Identité du père
event.birth.action.declare.form.section.documents.field.proofOfInformant.label,This is the label for the field,Preuve de l'identité de l'informateur
event.birth.action.declare.form.section.documents.field.proofOfMother.label,This is the label for the field,Identité de la mère
event.birth.action.declare.form.section.documents.field.proofOther.label,This is the label for the field,Autre
event.birth.action.declare.form.section.father.field.address.addressSameAs.label,This is the label for the field,Identique au lieu de résidence habituel de la mère?
event.birth.action.declare.form.section.father.field.age.label,This is the label for the field,Âge du père (au moment de l'événement)
event.birth.action.declare.form.section.father.field.detailsNotAvailable.label,This is the label for the field,
event.birth.action.declare.form.section.father.field.name.label,This is the label for the field,Nom du père
event.birth.action.declare.form.section.father.field.reason.label,This is the label for the field,Raison
event.birth.action.declare.form.section.informant.field.age.label,This is the label for the field,Âge de l'informateur (au moment de l'événement)
event.birth.action.declare.form.section.informant.field.email.label,This is the label for the field,E-mail
event.birth.action.declare.form.section.informant.field.name.label,This is the label for the field,Nom du déclarant
event.birth.action.declare.form.section.informant.field.other.relation.label,This is the label for the field,Relation avec l'enfant
event.birth.action.declare.form.section.informant.field.phoneNo.error,"The error message that appears on phone numbers where the first two characters must be 07 or 09, and length must be 10",Doit être un nombre valide de  {num} chiffres qui commence par  {start}
event.birth.action.declare.form.section.informant.field.phoneNo.label,This is the label for the field,Numéro de téléphone
event.birth.action.declare.form.section.informant.field.relation.label,This is the label for the field,Relation avec l'enfant
event.birth.action.declare.form.section.mother.field.age.label,This is the label for the field,Âge de la mère (au moment de l'événement)
event.birth.action.declare.form.section.mother.field.detailsNotAvailable.label,This is the label for the field,
event.birth.action.declare.form.section.mother.field.name.label,This is the label for the field,Nom de la mère
event.birth.action.declare.form.section.mother.field.previousBirths.label,This is the label for the field,Nombre de naissances antérieures
event.birth.action.declare.form.section.mother.field.reason.label,This is the label for the field,Raison
event.birth.action.declare.form.section.person.dob.afterChild,This is the error message for a birth date after child's birth date,
event.birth.action.declare.form.section.person.field.address.label,This is the label for the field,Lieu de résidence habituel
event.birth.action.declare.form.section.person.field.addressHelper.label,This is the label for the field,Adresse du domicile
event.birth.action.declare.form.section.person.field.age.checkbox.label,This is the label for the field,Date de naissance exacte inconnue
event.birth.action.declare.form.section.person.field.age.postfix,This is the postfix for age field,years
event.birth.action.declare.form.section.person.field.brn.label,This is the label for the field,Numéro d'identification
event.birth.action.declare.form.section.person.field.dob.error,This is the error message for invalid date,Doit être une date de naissance valide
event.birth.action.declare.form.section.person.field.dob.label,This is the label for the field,Date de naissance
event.birth.action.declare.form.section.person.field.educationalAttainment.label,This is the label for the field,Niveau d'éducation
event.birth.action.declare.form.section.person.field.idType.label,This is the label for the field,Type d'identification
event.birth.action.declare.form.section.person.field.maritalStatus.label,This is the label for the field,Marital Status
event.birth.action.declare.form.section.person.field.nationality.label,This is the label for the field,Nationalité
event.birth.action.declare.form.section.person.field.nid.label,This is the label for the field,Numéro d'identification
event.birth.action.declare.form.section.person.field.occupation.label,This is the label for the field,Profession
event.birth.action.declare.form.section.person.field.passport.label,This is the label for the field,Numéro d'identification
event.birth.action.declare.label,This is shown as the action name anywhere the user can trigger the action from,Declare
event.birth.action.declare.notify.copy,Confirmation text for the notify action,
event.birth.action.declare.register.copy,Confirmation text for the register action,
event.birth.action.detect-duplicate.label,This is shown as the action name anywhere the user can trigger the action from,
event.birth.action.edit.declare.copy,Confirmation text for the declare with edits action,Vous êtes sur le point de redéclarer cet événement avec vos modifications. Cela mettra à jour définitivement la déclaration.
event.birth.action.edit.notify.copy,Confirmation text for the notify with edits action,Êtes-vous sûr de vouloir notifier cet événement avec ces modifications ?
event.birth.action.edit.register.copy,Confirmation text for the register with edits action,Vous êtes sur le point d'enregistrer cet événement avec vos modifications. L'enregistrement de cet événement créera un dossier d'état civil officiel.
event.birth.action.escalate.audit-history-label,The label to show in audit history for the escalate action,
event.birth.action.escalate.label,This is shown when the escalate action can be triggered from the action from,
event.birth.action.escalate.supportingCopy,This is the confirmation text for the escalate action,
event.birth.action.form.section.alienNumberDetails.label,Field for entering Alien Number details,Numéro d'étranger
event.birth.action.form.section.brn.label,Field for entering Birth Registration Number,Numéro d'enregistrement de naissance
event.birth.action.form.section.collector.other.field.name.label,This is the label for the name field of OTHER collector,Nom du collecteur
event.birth.action.form.section.drivingLicenseDetails.label,Field for entering Driving License details,Permis de conduire
event.birth.action.form.section.idNumberOther.label,"Field for entering ID Number if ""Other"" is selected",
event.birth.action.form.section.idType.alienNumber.label,Option for selecting Alien Number as the ID type,Numéro d'étranger
event.birth.action.form.section.idType.brn.label,Option for selecting Birth Registration Number as the ID type,Numéro d'enregistrement de naissance
event.birth.action.form.section.idType.drivingLicense.label,Option for selecting Driving License as the ID type,Permis de conduire
event.birth.action.form.section.idType.label,This is the label for selecting the type of ID,Type d'identité
event.birth.action.form.section.idType.nid.label,Option for selecting National ID as the ID type,Carte nationale d'identité
event.birth.action.form.section.idType.noId.label,Option for selecting No ID as the ID type,Aucune identité disponible
event.birth.action.form.section.idType.other.label,Option for selecting Other as the ID type,Autre
event.birth.action.form.section.idType.passport.label,Option for selecting Passport as the ID type,Passeport
event.birth.action.form.section.idType.refugeeNumber.label,Option for selecting Refugee Number as the ID type,Numéro de réfugié
event.birth.action.form.section.idTypeOther.label,"Field for entering ID type if ""Other"" is selected",
event.birth.action.form.section.nid.label,Field for entering ID Number,Carte nationale d'identité
event.birth.action.form.section.passportDetails.label,Field for entering Passport details,Passeport
event.birth.action.form.section.refugeeNumberDetails.label,Field for entering Refugee Number details,Numéro de réfugié
event.birth.action.form.section.relationshipToChild.label,This is the label for the relationship to child field,
event.birth.action.form.section.signedAffidavit.fileName,This is the label for the file name,Déclaration signée
event.birth.action.form.section.signedAffidavit.label,This is the label for uploading a signed affidavit,Déclaration signée (Optionnel)
event.birth.action.issue-certified-copy.label,This is shown as the action name anywhere the user can trigger the action from,
event.birth.action.issue-certified-copy.supportingCopy,This is the confirmation text for the issue certified copy action,
event.birth.action.issued.audit-history-label,The label to show in audit history for the issued action,Émis
event.birth.action.print.collectPayment,This is the title of the section,
event.birth.action.print.verifyIdentity,This is the title of the section,Vérifier l'identité
event.birth.action.provincial-registrar-feedback.label,This is shown when the provincial registrar feedback can be triggered from the action from,Retour du registraire provincial
event.birth.action.provincial-registrar-feedback.supportingCopy,This is the confirmation text for the provincial registrar feedback action,
event.birth.action.register.label,This is shown as the action name anywhere the user can trigger the action from,Enregistrer
event.birth.action.register.supportingCopy,Confirmation text for the register action,L'enregistrement de cet événement de naissance créera un dossier officiel d'état civil. Veuillez vous assurer que tous les détails sont corrects avant de continuer.
event.birth.action.registrar-feedback.audit-history-label,The label to show in audit history for the registrar feedback sent action,
event.birth.action.registrar-general-feedback.label,This is shown when the registrar general feedback can be triggered from the action from,Retour du registraire général
event.birth.action.registrar-general-feedback.supportingCopy,This is the confirmation text for the registrar general feedback action,
event.birth.action.reinstate-registration.audit-history-label,The label to show in audit history for the reinstate registration action,
event.birth.action.reject.label,This is shown as the action name anywhere the user can trigger the action from,Rejeter
event.birth.action.revoke-registration.audit-history-label,The label to show in audit history for the revoke registration action,
event.birth.action.revoke-registration.label,This is shown as the action name anywhere the user can trigger the action from,
event.birth.action.revoke-registration.supportingCopy,This is the confirmation text for the reinstate revoke registration action,
event.birth.custom.action.approve.field.collector.label,Label for collector field,le collectionneur
event.birth.custom.action.approve.field.notes.label,This is the label for the field for a custom action,Commentaires
event.birth.custom.action.escalate.field.escalate-to.label,This is the label for escalate to field,
event.birth.custom.action.escalate.field.escalate-to.option.officer-in-charge.label,Option label for provincial registrar in escalate to field,
event.birth.custom.action.escalate.field.escalate-to.option.registrar-general.label,Option label for registrar general in escalate to field,
event.birth.custom.action.revoke-registration.field.reason.label,This is the label for the reason field for revoke registration action,
event.birth.custom.action.validate-declaration.audit-history-label,The label to show in audit history for the validate action,Validé
event.birth.custom.action.validate-declaration.field.comments.label,This is the label for the comments field for the validate declaration action,Commentaires
event.birth.custom.action.validate-declaration.label,This is shown as the action name anywhere the user can trigger the action from,Valider
event.birth.custom.action.validate-declaration.supportingCopy,This is the supporting copy for the Validate declaration -action,La validation de cette déclaration confirme qu'elle répond à toutes les exigences et est éligible à l'enregistrement.
event.birth.flag.approval-required-for-late-registration,Flag label for approval required for late registration,
event.birth.flag.certified-copy-printed-in-advance-of-issuance,Flag label for certified copy printed in advance of issuance,
event.birth.flag.escalated-to-provincial-registrar,Flag label for escalated to provincial registrar,
event.birth.flag.escalated-to-registrar-general,Flag label for escalated to registrar general,
event.birth.flag.pending-first-certificate-issuance,Flag label for first certificate issuance,En attente de la délivrance d'une copie certifiée conforme
event.birth.flag.revoked,Flag label for revoked,
event.birth.flag.validated,Flag label for validated,
event.birth.label,This is what this event is referred as in the system,Naissance
event.birth.summary.child.dob.empty,This is shown when there is no child information,Pas de date de naissance
event.birth.summary.child.placeOfBirth.empty,This is shown when there is no child information,Pas de lieu de naissance
event.birth.summary.child.placeOfBirth.label,Label for place of birth,Lieu de naissance
event.birth.summary.event.registeredAt.empty,This is shown when there is no registration date,
event.birth.summary.event.registeredAt.label,This is the label for the registration date,
event.birth.summary.event.registeredAt.value,This is the registration date value,
event.birth.summary.informant.contact.empty,This is shown when there is no informant information,Pas de coordonnées fournies
event.birth.summary.informant.contact.label,This is the label for the informant information,Contact
event.birth.summary.informant.contact.value,This is the contact value of the informant,{informant.phoneNo} {informant.email}
event.birth.title,This is the title of the summary,{child.name.firstname} {child.name.surname}
event.death.action.Read.label,This is shown as the action name anywhere the user can trigger the action from,Lire
event.death.action.archive.label,This is shown as the action name anywhere the user can trigger the action from,
event.death.action.certificate.form.cancel,This is the label for the verification cancellation button,L'identité ne correspond pas
event.death.action.certificate.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Veuillez noter que si vous continuez, vous serez responsable de la délivrance d'un certificat sans la preuve d'identité nécessaire du collecteur."
event.death.action.certificate.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Imprimer sans preuve d'identité ?
event.death.action.certificate.form.label,This is what this form is referred as in the system,Collecteur de certificat de décès
event.death.action.certificate.form.section.collectPayment.data.label,Title for the data section,Détails du paiement
event.death.action.certificate.form.section.collectPayment.fee.label,Title for the data entry,Frais
event.death.action.certificate.form.section.collectPayment.service.label,Title for the data entry,Service
event.death.action.certificate.form.section.collectPayment.service.label.afterRegistrationTarget,Death registration after 45 days of date of death message,Enregistrement du décès après 45 jours de la date du décès
event.death.action.certificate.form.section.collectPayment.service.label.beforeRegistrationTarget,Death registration before 45 days of date of death message,Enregistrement du décès avant 45 jours de la date du décès
event.death.action.certificate.form.section.requester.label,This is the label for the field,Demandeur
event.death.action.certificate.form.section.requester.other.label,This is the label for the field,Imprimer et délivrer à quelqu'un d'autre
event.death.action.certificate.form.section.requester.spouse.label,This is the label for the field,Imprimer et délivrer au conjoint
event.death.action.certificate.form.section.verifyIdentity.data.label,Title for the data section,Détails de l'identité
event.death.action.certificate.form.section.who.title,This is the title of the section,Certifier l'enregistrement
event.death.action.certificate.form.verify,This is the label for the verification button,Vérifié
event.death.action.collect-certificate.label,This is shown as the action name anywhere the user can trigger the action from,Imprimer
event.death.action.correction.documents.supportingDocs.affidavit.label,Label for the affidavit option,Affidavit
event.death.action.correction.documents.supportingDocs.courtDocument.label,Label for the court document option,Document judiciaire
event.death.action.correction.documents.supportingDocs.label,Label for the supporting documents field,Documents justificatifs
event.death.action.correction.documents.supportingDocs.other.label,Label for the other option,Autre
event.death.action.correction.fees.amount.label,Label for the amount field,Frais totaux
event.death.action.correction.fees.amount.prefix,Prefix for the amount field,€
event.death.action.correction.form.cancel,This is the label for the verification cancellation button,L'identité ne correspond pas
event.death.action.correction.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Veuillez noter que si vous continuez, vous serez responsable d'apporter une modification à cet enregistrement sans la preuve d'identification nécessaire."
event.death.action.correction.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Correction sans preuve d'identité ?
event.death.action.correction.form.label,This is the label for the death correction form,Corriger le dossier
event.death.action.correction.form.section.details.divider.label,This is the title of the section,
event.death.action.correction.form.section.details.title,This is the title of the section,Détails de la correction
event.death.action.correction.form.section.fees.title,This is the title of the section,Collecter les frais
event.death.action.correction.form.section.reason.title,This is the title of the section,Raison de la correction
event.death.action.correction.form.section.requester.brn.label,This is the label for the field,Numéro d'identité
event.death.action.correction.form.section.requester.idType.label,This is the label for the field,Type d'identité
event.death.action.correction.form.section.requester.identity.verify.title,This is the title of the section,Vérifier l'identité
event.death.action.correction.form.section.requester.label,This is the label for the field,Demandeur
event.death.action.correction.form.section.requester.name.label,This is the label for the field,Nom
event.death.action.correction.form.section.requester.nid.label,This is the label for the field,Numéro d'identité
event.death.action.correction.form.section.requester.passport.label,This is the label for the field,Numéro d'identité
event.death.action.correction.form.section.requester.relationship.label,This is the label for the field,Relation avec l'enfant
event.death.action.correction.form.section.requester.relationship.placeholder,This is the placeholder for the field,ex. Grand-mère
event.death.action.correction.form.section.supporting-documents.title,This is the title of the section,Télécharger les documents justificatifs
event.death.action.correction.form.section.verifyIdentity.data.label,Title for the data section,
event.death.action.correction.form.verify,This is the label for the verification button,Vérifié
event.death.action.correction.reason.option.clericalError.label,Label for the clerical error option,Une erreur a été commise par moi-même ou un agent (Erreur administrative)
event.death.action.correction.reason.option.judicialOrder.label,Label for the judicial order option,Demandé par le tribunal (Ordonnance judiciaire)
event.death.action.correction.reason.option.materialError.label,Label for the material error option,L'informateur a fourni des informations incorrectes (Erreur matérielle)
event.death.action.correction.reason.option.materialOmission.label,Label for the material omission option,L'informateur n'a pas fourni cette information (Omission matérielle)
event.death.action.correction.reason.option.other.label,Label for the other option,Autre
event.death.action.correction.reason.other.label,Label for the reason,Préciser la raison
event.death.action.declare.form.label,This is what this form is referred as in the system,Formulaire de déclaration de décès
event.death.action.declare.form.nid.unique,This is the error message for non-unique ID Number,L'identifiant national doit être unique
event.death.action.declare.form.review.comment.label,Label for the comment field in the review section,Commentaire
event.death.action.declare.form.review.signature.label,Label for the signature field in the review section,Signature de l'informateur
event.death.action.declare.form.review.title,Title of the form to show in review page,"{deceased.name.firstname, select, __EMPTY__ {{deceased.name.surname, select, __EMPTY__ {Déclaration de décès} other {Déclaration de décès de {deceased.name.surname}}}} other {{deceased.name.surname, select, __EMPTY__ {Déclaration de décès de {deceased.name.firstname}} other {Déclaration de décès de {deceased.name.firstname} {deceased.name.surname}}}}}"
event.death.action.declare.form.section.deceased.field.address.label,This is the label for the field,Lieu de résidence habituel
event.death.action.declare.form.section.deceased.field.age.error,Error message for invalid age,L'auteur doit avoir entre 0 et 120 ans
event.death.action.declare.form.section.deceased.field.age.label,This is the label for the field,Âge du défunt (au moment de l'événement)
event.death.action.declare.form.section.deceased.field.deathLocation.label,This is the label for the field,Établissement de santé
event.death.action.declare.form.section.deceased.field.deathLocationOther.label,This is the label for the field,Adresse du lieu de décès
event.death.action.declare.form.section.deceased.field.dob.error,This is the error message for invalid date,Doit être une date de naissance valide
event.death.action.declare.form.section.deceased.field.dob.error.laterThanDeath,This is the error message for date of birth later than date of death,La date de naissance doit être antérieure à la date de décès
event.death.action.declare.form.section.deceased.field.dob.label,This is the label for the field,Date de naissance
event.death.action.declare.form.section.deceased.field.gender.label,This is the label for the field,Sexe
event.death.action.declare.form.section.deceased.field.name.label,This is the label for the field,Nom du défunt
event.death.action.declare.form.section.deceased.field.numberOfDependants.label,This is the label for the field,Nombre de personnes à charge
event.death.action.declare.form.section.deceased.field.placeOfDeath.label,This is the label for the field,Lieu du décès
event.death.action.declare.form.section.documents.field.proofOfCauseOfDeath.label,This is the label for the field,Preuve de la cause du décès
event.death.action.declare.form.section.documents.field.proofOfDeath.label,This is the label for the field,Preuve du décès du défunt
event.death.action.declare.form.section.documents.field.proofOfDeceased.label,This is the label for the field,Preuve de l'identité du défunt
event.death.action.declare.form.section.documents.field.proofOfInformant.label,This is the label for the field,Preuve de l'identité de l'informateur
event.death.action.declare.form.section.event.field.addressHelper.label,This is the label for the field,Lieu du décès
event.death.action.declare.form.section.event.field.causeOfDeath.label,This is the label for the field,La cause du décès a été établie
event.death.action.declare.form.section.event.field.date.error,This is the error message for invalid date,Doit être une date valide
event.death.action.declare.form.section.event.field.date.error.beforeBirth,This is the error message for date of death before date of birth,La date du décès doit être postérieure à la date de naissance du défunt
event.death.action.declare.form.section.event.field.date.label,This is the label for the field,Date du décès
event.death.action.declare.form.section.event.field.description.label,Description of cause of death by lay person or verbal autopsy,Description
event.death.action.declare.form.section.event.field.manner.label,This is the label for the field,Mode de décès
event.death.action.declare.form.section.event.field.reason.label,This is the label for the field,Raison de l'inscription tardive
event.death.action.declare.form.section.event.field.sourceCauseDeath.label,This is the label for the field,Source de la cause du décès
event.death.action.declare.form.section.informant.field.address.addressSameAs.label,This is the label for the field,Identique au lieu de résidence habituel du défunt ?
event.death.action.declare.form.section.informant.field.address.label,This is the label for the field,Lieu de résidence habituel
