statisticalID,name,partOf,code,physicalType
MHol2AAQxSL,Petauke,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
Gk1xAY3wm9w,Sinda,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
Pq4OSjJIF4z,Vubwi,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
ntoX1PkiWri,Chilanga,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
SvFNQpplnch,Chirundu,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
NLjvK1QsrN3,Chongwe,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
hywxVKv48Xp,Kafue,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
MQrVneDhKKn,Luangwa,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
o8B4Up9xxJI,Lusaka,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
X8wgqN4p9l9,Rufunsa,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
jNFgOiE4moz,Shibuyunji,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
QTtxiWj8ONP,Chembe,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
Oapn6R4rt3D,Chienge,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
idR0pJWLqcR,Chifunabuli,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
jCJxK8sFH40,Chipili,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
bjCC79pZC5f,Kawambwa,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
oFvkx78MhC9,Lunga,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
RXl1ctHnd1A,Mansa,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
bW1rTUYvPMz,Milenge,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
cLYG2oIinWU,Mwansabombwe,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
na58mHU96zc,Mwense,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
o0jgNBf8WkJ,Nchelenge,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ibwukc3IOtw,Samfya,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ydyJb1RAy4U,Chama,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
nO68NTtcdw2,Chinsali,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
FuvOOwvBw0p,Isoka,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
R22tRIhdm5Y,Kanchibiya,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
FN09WGc823z,Lavushimanda,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
rsnNQkFGMcj,Mafinga,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
WUGwOojuXhn,Mpika,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
VwikQC0hLMx,Nakonde,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
QZt3FzaOkx9,Shiwang'andu,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
zVGDJflzhPb,Chilubi,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
dp5cPWW6xv8,Kaputa,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
P7NaqvIQyOs,Kasama,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
FCCqOu1ovY9,Lunte,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
TPkxPw2bhI8,Luwingu,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
EdEpJ41rhF6,Mbala,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
rmtQCSpiaGq,Mporoko,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
e89vE6G7gSP,Mpulungu,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
UE7BZCcd4ru,Mungwi,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
U0FqpXTYwNn,Nsama,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
NuLyVjY7fQv,Senga,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
BdX6cE5mRtc,Chavuma,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
qKkhij0V9Wb,Ikelenge,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
Q2vsyZtjCKw,Kabompo,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
M5iSsoZlMCg,Kalumbila,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
Y6VY97xzyvw,Kasempa,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
ezPzz97CaXr,Manyinga,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
svOkUE0zEKJ,Mufumbwe,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
PudjamhkCta,Mushindamo,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
weCNzKLpK2o,Mwinilunga,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
OAqKXOIWje0,Solwezi,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
BF2UmDQqcjZ,Zambezi,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
grvG4PUGBwQ,Chikankata,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
XGrRE6z2k1p,Choma,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
TKOOF8cvLah,Gwembe,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
MwFm7Ir4vzI,Kalomo,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
hMOurLMZjoX,Kazungula,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
DM5Sjew7MCn,Livingstone,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
k3q47RyPfIf,Mazabuka,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
NRs3xBI4qF6,Monze,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
Xuov31JWDss,Namwala,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
mJa1jLXRrrK,Pemba,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
Q9ewrtYhNOv,Siavonga,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
v5q6MnxfJHT,Sinazongwe,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
h1YXoH8lV3A,Zimba,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
dPAa9yBDF5m,Kalabo,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
kMIsLurEHGC,Kaoma,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
oyW7RtZeyts,Limulunga,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
PN8pr9gsQ6d,Luampa,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
yuZxGzmJmJx,Lukulu,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
HefsNe70KUl,Mitete,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
xu3OhvvaqO2,Mongu,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
N7Zb9bZIFfU,Mulobezi,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
NBWNnxGW6MO,Mwandi,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
XAAy2m8nuK4,Nalolo,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
STo5teksHbj,Nkeyema,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
H8e2u6ULtJn,Senanga,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
vbwN4b2ls0C,Sesheke,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
aowwl8HXAPF,Shang'ombo,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
UdwuRGdGJVT,Sikongo,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
ezsliaw6gka,Sioma,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
